Mode,Dept,Arr,Duration,Price,Company,Price_sort,Duration_min,added_arrival,Custom_weighting
Train,2024-05-05 04:20:00,2024-05-05 06:55:00,2h 35m,$30.00,Amtrak Northeast Regional,30.0,155,2024-05-05 07:25:00,0.0539568345323741
Train,2024-05-05 05:30:00,2024-05-05 07:55:00,2h 25m,$138.00,Amtrak Acela,138.0,145,2024-05-05 08:25:00,0.310177224074399
Train,2024-05-05 05:45:00,2024-05-05 08:21:00,2h 36m,$30.00,Amtrak,30.0,156,2024-05-05 08:51:00,0.05467625899280576
Train,2024-05-05 04:20:00,2024-05-05 07:10:00,2h 50m,$30.00,Amtrak Northeast Regional,30.0,170,2024-05-05 07:40:00,0.06474820143884892
Train,2024-05-05 10:35:00,2024-05-05 13:19:00,2h 44m,$69.00,Amtrak Northeast Regional,69.0,164,2024-05-05 13:49:00,0.1555536058957712
Train,2024-05-05 12:00:00,2024-05-05 14:17:00,2h 17m,$179.00,Amtrak Acela,179.0,137,2024-05-05 14:47:00,0.4044218283909458
Train,2024-05-05 04:50:00,2024-05-05 07:49:00,2h 59m,$69.00,Amtrak Northeast Regional,69.0,179,2024-05-05 08:19:00,0.16634497280224603
Train,2024-05-05 10:35:00,2024-05-05 13:34:00,2h 59m,$69.00,Amtrak Northeast Regional,69.0,179,2024-05-05 14:04:00,0.16634497280224603
Train,2024-05-05 04:50:00,2024-05-05 08:04:00,3h 14m,$69.00,Amtrak Northeast Regional,69.0,194,2024-05-05 08:34:00,0.17713633970872084
Train,2024-05-05 06:30:00,2024-05-05 08:51:00,2h 21m,$179.00,Amtrak Acela,179.0,141,2024-05-05 09:21:00,0.40729952623267246
Train,2024-05-05 09:25:00,2024-05-05 12:05:00,2h 40m,$96.00,Amtrak Northeast Regional,96.0,160,2024-05-05 12:35:00,0.21852956659062997
Train,2024-05-05 13:49:00,2024-05-05 16:29:00,2h 40m,$96.00,Amtrak Northeast Regional,96.0,160,2024-05-05 16:59:00,0.21852956659062997
Train,2024-05-05 14:15:00,2024-05-05 16:33:00,2h 18m,$228.00,Amtrak Acela,228.0,138,2024-05-05 17:03:00,0.5246534479733287
Train,2024-05-05 12:10:00,2024-05-05 15:01:00,2h 51m,$96.00,Amtrak Northeast Regional,96.0,171,2024-05-05 15:31:00,0.22644323565537816
Train,2024-05-05 07:10:00,2024-05-05 09:59:00,2h 49m,$96.00,Amtrak Northeast Regional,96.0,169,2024-05-05 10:29:00,0.22500438673451487
Train,2024-05-05 14:15:00,2024-05-05 17:08:00,2h 53m,$96.00,Amtrak Crescent,96.0,173,2024-05-05 17:38:00,0.22788208457624148
Train,2024-05-05 10:00:00,2024-05-05 12:19:00,2h 19m,$228.00,Amtrak Acela,228.0,139,2024-05-05 12:49:00,0.5253728724337603
Train,2024-05-05 11:13:00,2024-05-05 14:02:00,2h 49m,$96.00,Amtrak,96.0,169,2024-05-05 14:32:00,0.22500438673451487
Train,2024-05-05 11:02:00,2024-05-05 13:53:00,2h 51m,$96.00,Amtrak Silver Service,96.0,171,2024-05-05 14:23:00,0.22644323565537816
Train,2024-05-05 07:25:00,2024-05-05 10:02:00,2h 37m,$96.00,Amtrak Carolinian,96.0,157,2024-05-05 10:32:00,0.216371293209335
Train,2024-05-05 13:02:00,2024-05-05 15:24:00,2h 22m,$287.00,Amtrak Acela,287.0,142,2024-05-05 15:54:00,0.6714335848394456
Train,2024-05-05 06:02:00,2024-05-05 08:40:00,2h 38m,$96.00,Amtrak Palmetto,96.0,158,2024-05-05 09:10:00,0.21709071766976665
Train,2024-05-05 00:20:00,2024-05-05 06:02:00,5h 42m,$96.00,Amtrak Northeast Regional,96.0,342,2024-05-05 06:32:00,0.34946481838919113
Train,2024-05-05 14:02:00,2024-05-05 16:37:00,2h 35m,$129.00,Amtrak Northeast Regional,129.0,155,2024-05-05 17:07:00,0.29542024916652043
Train,2024-05-05 08:24:00,2024-05-05 11:01:00,2h 37m,$129.00,Amtrak Northeast Regional,129.0,157,2024-05-05 11:31:00,0.29685909808738375
Train,2024-05-05 15:00:00,2024-05-05 17:20:00,2h 20m,$287.00,Amtrak Acela,287.0,140,2024-05-05 17:50:00,0.6699947359185823
Train,2024-05-05 15:05:00,2024-05-05 17:53:00,2h 48m,$129.00,Amtrak Northeast Regional,129.0,168,2024-05-05 18:23:00,0.304772767152132
Train,2024-05-05 16:39:00,2024-05-05 19:26:00,2h 47m,$129.00,Amtrak Northeast Regional,129.0,167,2024-05-05 19:56:00,0.3040533426917003
Train,2024-05-05 11:00:00,2024-05-05 13:23:00,2h 23m,$287.00,Amtrak Acela,287.0,143,2024-05-05 13:53:00,0.6721530092998773
Train,2024-05-05 16:05:00,2024-05-05 18:48:00,2h 43m,$129.00,Amtrak Northeast Regional,129.0,163,2024-05-05 19:18:00,0.30117564484997367
Train,2024-05-05 12:40:00,2024-05-05 15:35:00,2h 55m,$129.00,Amtrak Northeast Regional,129.0,175,2024-05-05 16:05:00,0.30980873837515355
Train,2024-05-05 11:35:00,2024-05-05 14:19:00,2h 44m,$129.00,Amtrak Northeast Regional,129.0,164,2024-05-05 14:49:00,0.30189506931040533
Train,2024-05-05 09:00:00,2024-05-05 11:20:00,2h 20m,$287.00,Amtrak Acela,287.0,140,2024-05-05 11:50:00,0.6699947359185823
Train,2024-05-05 09:25:00,2024-05-05 12:18:00,2h 53m,$96.00,Amtrak Northeast Regional,96.0,173,2024-05-05 12:48:00,0.22788208457624148
Train,2024-05-05 07:10:00,2024-05-05 10:12:00,3h 2m,$96.00,Amtrak Northeast Regional,96.0,182,2024-05-05 10:42:00,0.23435690472012638
Train,2024-05-05 17:00:00,2024-05-05 19:17:00,2h 17m,$356.00,Amtrak Acela,356.0,137,2024-05-05 19:47:00,0.8361291454641165
Train,2024-05-05 06:02:00,2024-05-05 08:54:00,2h 52m,$96.00,Amtrak Palmetto,96.0,172,2024-05-05 09:24:00,0.22716266011580982
Train,2024-05-05 11:13:00,2024-05-05 14:15:00,3h 2m,$96.00,Amtrak,96.0,182,2024-05-05 14:45:00,0.23435690472012638
Train,2024-05-05 12:10:00,2024-05-05 15:15:00,3h 5m,$96.00,Amtrak Northeast Regional,96.0,185,2024-05-05 15:45:00,0.23651517810142134
Train,2024-05-05 17:00:00,2024-05-05 19:30:00,2h 30m,$358.00,Amtrak Acela,358.0,150,2024-05-05 20:00:00,0.8503597122302159
Train,2024-05-05 14:02:00,2024-05-05 16:50:00,2h 48m,$129.00,Amtrak Northeast Regional,129.0,168,2024-05-05 17:20:00,0.304772767152132
Train,2024-05-05 15:00:00,2024-05-05 17:33:00,2h 33m,$289.00,Amtrak Acela,289.0,153,2024-05-05 18:03:00,0.6842253026846816
Train,2024-05-05 15:15:00,2024-05-05 18:10:00,2h 55m,$164.00,Amtrak Silver Service,164.0,175,2024-05-05 18:40:00,0.39517459203369015
Train,2024-05-05 16:39:00,2024-05-05 19:40:00,3h 1m,$129.00,Amtrak Northeast Regional,129.0,181,2024-05-05 20:10:00,0.31412528513774346
Train,2024-05-05 15:05:00,2024-05-05 18:07:00,3h 2m,$129.00,Amtrak Northeast Regional,129.0,182,2024-05-05 18:37:00,0.3148447095981751
Train,2024-05-05 09:00:00,2024-05-05 11:33:00,2h 33m,$289.00,Amtrak Acela,289.0,153,2024-05-05 12:03:00,0.6842253026846816
Train,2024-05-05 16:05:00,2024-05-05 19:02:00,2h 57m,$129.00,Amtrak Northeast Regional,129.0,177,2024-05-05 19:32:00,0.31124758729601687
Train,2024-05-05 08:24:00,2024-05-05 11:14:00,2h 50m,$129.00,Amtrak Northeast Regional,129.0,170,2024-05-05 11:44:00,0.30621161607299524
Train,2024-05-05 13:02:00,2024-05-05 15:37:00,2h 35m,$289.00,Amtrak Acela,289.0,155,2024-05-05 16:07:00,0.685664151605545
Train,2024-05-05 11:35:00,2024-05-05 14:34:00,2h 59m,$129.00,Amtrak Northeast Regional,129.0,179,2024-05-05 15:04:00,0.31268643621688014
Train,2024-05-05 12:40:00,2024-05-05 15:51:00,3h 11m,$129.00,Amtrak Northeast Regional,129.0,191,2024-05-05 16:21:00,0.32131952974206
Train,2024-05-05 00:20:00,2024-05-05 06:18:00,5h 58m,$96.00,Amtrak Northeast Regional,96.0,358,2024-05-05 06:48:00,0.3609756097560976
