Mode,Dept,Arr,Duration,Price,Company,Price_sort,Duration_min,added_arrival,Custom_weighting
Bus,2024-05-14 04:50:00,2024-05-14 08:20:00,3h 30m,$8.99,FlixBus US,8.99,210,2024-05-14 08:50:00,0.083911475887843
Bus,2024-05-14 08:00:00,2024-05-14 11:30:00,3h 30m,$19.00,Peter Pan Lines,19.0,210,2024-05-14 12:00:00,0.0974935882458675
Bus,2024-05-14 08:05:00,2024-05-14 11:30:00,3h 25m,$27.99,FlixBus US,27.99,205,2024-05-14 12:00:00,0.1079010974292888
Bus,2024-05-14 02:15:00,2024-05-14 05:30:00,3h 15m,$35.00,Wanda Coach,35.0,195,2024-05-14 06:00:00,0.1083429472590946
Bus,2024-05-14 07:35:00,2024-05-14 11:10:00,3h 35m,$27.99,FlixBus US,27.99,215,2024-05-14 11:40:00,0.1142503037784951
Bus,2024-05-14 06:10:00,2024-05-14 09:50:00,3h 40m,$27.99,FlixBus US,27.99,220,2024-05-14 10:20:00,0.1174249069530983
Bus,2024-05-14 03:15:00,2024-05-14 07:00:00,3h 45m,$35.00,Wanda Coach,35.0,225,2024-05-14 07:30:00,0.1273905663067137
Bus,2024-05-14 01:45:00,2024-05-14 05:40:00,3h 55m,$36.99,Greyhound,36.99,235,2024-05-14 06:10:00,0.13373977265592
Train,2024-05-14 08:27:00,2024-05-14 11:14:00,2h 47m,$69.00,Amtrak,69.0,167,2024-05-14 11:44:00,0.1368327214645613
Bus,2024-05-14 01:30:00,2024-05-14 05:30:00,4h 0m,$35.00,Wanda Coach,35.0,240,2024-05-14 06:00:00,0.1369143758305232
Train,2024-05-14 08:12:00,2024-05-14 11:14:00,3h 2m,$69.00,Amtrak,69.0,182,2024-05-14 11:44:00,0.1463565309883708
Bus,2024-05-14 04:30:00,2024-05-14 09:00:00,4h 30m,$30.00,Wanda Coach,30.0,270,2024-05-14 09:30:00,0.14917093869913
Bus,2024-05-14 04:20:00,2024-05-14 08:55:00,4h 35m,$27.99,Greyhound,27.99,275,2024-05-14 09:25:00,0.1523455418737332
Train,2024-05-14 05:44:00,2024-05-14 08:27:00,2h 43m,$96.00,Amtrak Northeast Regional,96.0,163,2024-05-14 08:57:00,0.1707880023596225
Train,2024-05-14 07:54:00,2024-05-14 10:45:00,2h 51m,$96.00,Amtrak Northeast Regional,96.0,171,2024-05-14 11:15:00,0.1739626055342257
Train,2024-05-14 07:14:00,2024-05-14 10:02:00,2h 48m,$96.00,Amtrak Northeast Regional,96.0,168,2024-05-14 10:32:00,0.1739626055342257
Train,2024-05-14 05:29:00,2024-05-14 08:27:00,2h 58m,$96.00,Amtrak Northeast Regional,96.0,178,2024-05-14 08:57:00,0.180311811883432
Train,2024-05-14 07:38:00,2024-05-14 10:45:00,3h 7m,$96.00,Amtrak Northeast Regional,96.0,187,2024-05-14 11:15:00,0.1834864150580352
Train,2024-05-14 06:57:00,2024-05-14 10:02:00,3h 5m,$96.00,Amtrak Northeast Regional,96.0,185,2024-05-14 10:32:00,0.1834864150580352
Train,2024-05-14 08:52:00,2024-05-14 11:21:00,2h 29m,$129.00,Amtrak Vermonter,129.0,149,2024-05-14 11:51:00,0.2088015860888987
Train,2024-05-14 08:42:00,2024-05-14 11:01:00,2h 19m,$138.00,Amtrak Acela,138.0,139,2024-05-14 11:31:00,0.2160344920977168
Bus,2024-05-14 05:05:00,2024-05-14 11:10:00,6h 5m,$34.98,Greyhound,34.98,365,2024-05-14 11:40:00,0.2162794551956026
Train,2024-05-14 08:35:00,2024-05-14 11:21:00,2h 46m,$129.00,Amtrak Vermonter,129.0,166,2024-05-14 11:51:00,0.2183253956127082
Bus,2024-05-14 02:05:00,2024-05-14 08:20:00,6h 15m,$34.98,Greyhound,34.98,375,2024-05-14 08:50:00,0.2226286615448089
Bus,2024-05-14 05:10:00,2024-05-14 11:15:00,6h 5m,$38.48,Greyhound,38.48,365,2024-05-14 11:45:00,0.2230705113746149
Bus,2024-05-14 05:10:00,2024-05-14 11:15:00,6h 5m,$38.48,FlixBus US,38.48,365,2024-05-14 11:45:00,0.2230705113746149
Train,2024-05-14 08:27:00,2024-05-14 11:01:00,2h 34m,$139.00,Amtrak Acela,139.0,154,2024-05-14 11:31:00,0.2255583016215263
Bus,2024-05-14 05:10:00,2024-05-14 11:30:00,6h 20m,$34.48,Greyhound,34.48,380,2024-05-14 12:00:00,0.2258032647194121
Bus,2024-05-14 01:10:00,2024-05-14 07:45:00,6h 35m,$35.48,FlixBus US,35.48,395,2024-05-14 08:15:00,0.2353270742432217
Train,2024-05-14 05:34:00,2024-05-14 07:48:00,2h 14m,$179.00,Amtrak Acela,179.0,134,2024-05-14 08:18:00,0.2671883383552115
Train,2024-05-14 06:30:00,2024-05-14 08:48:00,2h 18m,$179.00,Amtrak,179.0,138,2024-05-14 09:18:00,0.2703629415298147
Train,2024-05-14 05:21:00,2024-05-14 07:48:00,2h 27m,$180.00,Amtrak Acela,180.0,147,2024-05-14 08:18:00,0.2735375447044179
Plane,2024-05-14 06:05:00,2024-05-14 07:25:00,1h 20m,$216,Delta,216.0,80,2024-05-14 08:25:00,0.2798050966876623
Train,2024-05-14 07:34:00,2024-05-14 09:52:00,2h 18m,$228.00,Amtrak Acela,228.0,138,2024-05-14 10:22:00,0.3382735033199372
Train,2024-05-14 07:21:00,2024-05-14 09:52:00,2h 31m,$230.00,Amtrak Acela,230.0,151,2024-05-14 10:22:00,0.3446227096691435
Plane,2024-05-14 05:00:00,2024-05-14 10:00:00,5h 0m,$598,American Airlines,598.0,300,2024-05-14 11:00:00,0.9423989621541446
