Mode,Dept,Arr,Duration,Price,Company,Price_sort,Duration_min,added_arrival,Custom_weighting
Plane,06:05 AM,07:25 AM,1h 20m,$264,Delta,264.0,80,2024-05-12 08:25:00,0.2324453623644998
Plane,06:05 AM,07:25 AM,1h 20m,$264,Delta,264.0,80,2024-05-12 08:25:00,0.2324453623644998
Plane,05:17 PM,06:45 PM,1h 28m,$264,Delta,264.0,88,2024-05-12 19:45:00,0.2347310766502141
Plane,05:17 PM,06:45 PM,1h 28m,$264,Delta,264.0,88,2024-05-12 19:45:00,0.2347310766502141
Train,03:34 PM,05:48 PM,2h 14m,$287.00,Amtrak Acela,287.0,134,2024-05-12 18:18:00,0.2693439283088878
Train,05:34 AM,07:48 AM,2h 14m,$228.00,Amtrak Acela,228.0,134,2024-05-12 08:18:00,0.2142687249857061
Train,01:30 PM,03:46 PM,2h 16m,$356.00,Amtrak Acela,356.0,136,2024-05-12 16:16:00,0.3343253404277663
Train,04:30 PM,06:48 PM,2h 18m,$287.00,Amtrak Acela,287.0,138,2024-05-12 19:18:00,0.270486785451745
Train,07:34 AM,09:52 AM,2h 18m,$287.00,Amtrak Acela,287.0,138,2024-05-12 10:22:00,0.270486785451745
Train,06:30 AM,08:48 AM,2h 18m,$287.00,Amtrak,287.0,138,2024-05-12 09:18:00,0.270486785451745
Train,2024-05-12 14:30:00,2024-05-12 16:48:00,2h 18m,$356.00,Amtrak Acela,356.0,138,2024-05-12 17:18:00,0.3348967689991949
Train,2024-05-12 11:01:00,2024-05-12 13:20:00,2h 19m,$287.00,Amtrak Acela,287.0,139,2024-05-12 13:50:00,0.2707724997374593
Train,2024-05-12 08:42:00,2024-05-12 11:01:00,2h 19m,$228.00,Amtrak Acela,228.0,139,2024-05-12 11:31:00,0.2156972964142775
Train,2024-05-12 10:01:00,2024-05-12 12:24:00,2h 23m,$287.00,Amtrak,287.0,143,2024-05-12 12:54:00,0.2719153568803165
Train,2024-05-12 15:21:00,2024-05-12 17:48:00,2h 27m,$289.00,Amtrak Acela,289.0,147,2024-05-12 18:18:00,0.2749251700680272
Train,2024-05-12 05:21:00,2024-05-12 07:48:00,2h 27m,$230.00,Amtrak Acela,230.0,147,2024-05-12 08:18:00,0.2198499667448454
Train,2024-05-12 08:52:00,2024-05-12 11:21:00,2h 29m,$129.00,Amtrak Vermonter,129.0,149,2024-05-12 11:51:00,0.1261401150511663
Train,2024-05-12 07:21:00,2024-05-12 09:52:00,2h 31m,$289.00,Amtrak Acela,289.0,151,2024-05-12 10:22:00,0.2760680272108843
Train,2024-05-12 12:47:00,2024-05-12 15:20:00,2h 33m,$129.00,Amtrak Northeast Regional,129.0,153,2024-05-12 15:50:00,0.1272829721940234
Train,2024-05-12 08:27:00,2024-05-12 11:01:00,2h 34m,$230.00,Amtrak Acela,230.0,154,2024-05-12 11:31:00,0.2218499667448454
Train,2024-05-12 09:37:00,2024-05-12 12:12:00,2h 35m,$129.00,Amtrak Northeast Regional,129.0,155,2024-05-12 12:42:00,0.127854400765452
Train,2024-05-12 14:48:00,2024-05-12 17:24:00,2h 36m,$164.00,Amtrak Northeast Regional,164.0,156,2024-05-12 17:54:00,0.1608118458361045
Train,2024-05-12 10:19:00,2024-05-12 12:56:00,2h 37m,$129.00,Amtrak Northeast Regional,129.0,157,2024-05-12 13:26:00,0.1284258293368805
Train,2024-05-12 16:46:00,2024-05-12 19:24:00,2h 38m,$129.00,Amtrak Northeast Regional,129.0,158,2024-05-12 19:54:00,0.1287115436225948
Train,2024-05-12 11:54:00,2024-05-12 14:33:00,2h 39m,$129.00,Amtrak Northeast Regional,129.0,159,2024-05-12 15:03:00,0.1289972579083091
Train,2024-05-12 15:48:00,2024-05-12 18:30:00,2h 42m,$164.00,Amtrak Northeast Regional,164.0,162,2024-05-12 19:00:00,0.1625261315503903
Train,2024-05-12 10:53:00,2024-05-12 13:36:00,2h 43m,$129.00,Amtrak,129.0,163,2024-05-12 14:06:00,0.1301401150511663
Train,2024-05-12 05:44:00,2024-05-12 08:27:00,2h 43m,$96.00,Amtrak Northeast Regional,96.0,163,2024-05-12 08:57:00,0.0993353403110815
Train,2024-05-12 14:07:00,2024-05-12 16:50:00,2h 43m,$164.00,Amtrak Northeast Regional,164.0,163,2024-05-12 17:20:00,0.1628118458361045
Train,2024-05-12 16:14:00,2024-05-12 18:58:00,2h 44m,$129.00,Amtrak Northeast Regional,129.0,164,2024-05-12 19:28:00,0.1304258293368805
Train,2024-05-12 08:35:00,2024-05-12 11:21:00,2h 46m,$129.00,Amtrak Vermonter,129.0,166,2024-05-12 11:51:00,0.1309972579083091
