Mode,Dept,Arr,Duration,Price,Company,Price_sort,Duration_min,added_arrival,Custom_weighting
Train,2024-05-14 04:20:00,2024-05-14 06:55:00,2h 35m,$52.00,Amtrak Northeast Regional,52.0,155,2024-05-14 07:25:00,0.1325993555316863
Train,2024-05-14 08:05:00,2024-05-14 10:50:00,2h 45m,$52.00,Amtrak Northeast Regional,52.0,165,2024-05-14 11:20:00,0.1428034371643394
Train,2024-05-14 07:49:00,2024-05-14 10:33:00,2h 44m,$52.00,Amtrak,52.0,164,2024-05-14 11:03:00,0.1428034371643394
Train,2024-05-14 07:17:00,2024-05-14 10:02:00,2h 45m,$52.00,Amtrak Carolinian,52.0,165,2024-05-14 10:32:00,0.1428034371643394
Train,2024-05-14 04:20:00,2024-05-14 07:10:00,2h 50m,$52.00,Amtrak Northeast Regional,52.0,170,2024-05-14 07:40:00,0.1479054779806659
Train,2024-05-14 07:49:00,2024-05-14 10:46:00,2h 57m,$52.00,Amtrak,52.0,177,2024-05-14 11:16:00,0.1530075187969924
Train,2024-05-14 08:05:00,2024-05-14 11:03:00,2h 58m,$52.00,Amtrak Northeast Regional,52.0,178,2024-05-14 11:33:00,0.158109559613319
Train,2024-05-14 00:20:00,2024-05-14 05:36:00,5h 16m,$11.00,Amtrak Northeast Regional,11.0,316,2024-05-14 06:06:00,0.1755639097744361
Train,2024-05-14 06:02:00,2024-05-14 08:40:00,2h 38m,$72.00,Amtrak Palmetto,72.0,158,2024-05-14 09:10:00,0.1978517722878625
Train,2024-05-14 08:49:00,2024-05-14 11:34:00,2h 45m,$72.00,Amtrak,72.0,165,2024-05-14 12:04:00,0.202953813104189
Train,2024-05-14 09:05:00,2024-05-14 11:57:00,2h 52m,$72.00,Amtrak Northeast Regional,72.0,172,2024-05-14 12:27:00,0.2080558539205156
Train,2024-05-14 06:02:00,2024-05-14 08:54:00,2h 52m,$72.00,Amtrak Palmetto,72.0,172,2024-05-14 09:24:00,0.2080558539205156
Train,2024-05-14 08:49:00,2024-05-14 11:47:00,2h 58m,$72.00,Amtrak,72.0,178,2024-05-14 12:17:00,0.2182599355531686
Train,2024-05-14 00:20:00,2024-05-14 05:51:00,5h 31m,$22.00,Amtrak Northeast Regional,22.0,331,2024-05-14 06:21:00,0.2209452201933404
Train,2024-05-14 09:05:00,2024-05-14 12:11:00,3h 6m,$72.00,Amtrak Northeast Regional,72.0,186,2024-05-14 12:41:00,0.2233619763694951
Train,2024-05-14 09:00:00,2024-05-14 11:20:00,2h 20m,$104.00,Amtrak Acela,104.0,140,2024-05-14 11:50:00,0.2827067669172932
Train,2024-05-14 08:00:00,2024-05-14 10:24:00,2h 24m,$104.00,Amtrak Acela,104.0,144,2024-05-14 10:54:00,0.2878088077336198
Train,2024-05-14 09:00:00,2024-05-14 11:33:00,2h 33m,$105.00,Amtrak Acela,105.0,153,2024-05-14 12:03:00,0.2980128893662728
Train,2024-05-14 08:00:00,2024-05-14 10:37:00,2h 37m,$105.00,Amtrak Acela,105.0,157,2024-05-14 11:07:00,0.2980128893662728
Train,2024-05-14 10:03:00,2024-05-14 12:26:00,2h 23m,$134.00,Amtrak Acela,134.0,143,2024-05-14 12:56:00,0.3780343716433942
Plane,2024-05-14 05:03:00,2024-05-14 09:00:00,3h 57m,$158,American Airlines,158.0,237,2024-05-14 10:00:00,0.5450590762620837
Plane,2024-05-14 05:03:00,2024-05-14 09:00:00,3h 57m,$158,American Airlines,158.0,237,2024-05-14 10:00:00,0.5450590762620837
Plane,2024-05-14 06:00:00,2024-05-14 11:36:00,5h 36m,$228,Delta,228.0,336,2024-05-14 12:36:00,0.8576262083780882
Plane,2024-05-14 06:00:00,2024-05-14 11:36:00,5h 36m,$228,Delta,228.0,336,2024-05-14 12:36:00,0.8576262083780882
Plane,2024-05-14 06:00:00,2024-05-14 10:53:00,4h 53m,$277,Delta,277.0,293,2024-05-14 11:53:00,0.9521482277121376
Plane,2024-05-14 06:00:00,2024-05-14 10:53:00,4h 53m,$277,Delta,277.0,293,2024-05-14 11:53:00,0.9521482277121376
