Mode,Dept,Arr,Duration,Price,Company,Price_sort,Duration_min,added_arrival,Custom_weighting
Train,2024-05-14 04:20:00,2024-05-14 06:55:00,2h 35m,$52.00,Amtrak Northeast Regional,52.0,155,2024-05-14 07:25:00,0.1334426553393262
Train,2024-05-14 08:05:00,2024-05-14 10:50:00,2h 45m,$52.00,Amtrak Northeast Regional,52.0,165,2024-05-14 11:20:00,0.1439138595278079
Train,2024-05-14 07:49:00,2024-05-14 10:33:00,2h 44m,$52.00,Amtrak,52.0,164,2024-05-14 11:03:00,0.1439138595278079
Train,2024-05-14 07:17:00,2024-05-14 10:02:00,2h 45m,$52.00,Amtrak Carolinian,52.0,165,2024-05-14 10:32:00,0.1439138595278079
Train,2024-05-14 04:20:00,2024-05-14 07:10:00,2h 50m,$52.00,Amtrak Northeast Regional,52.0,170,2024-05-14 07:40:00,0.1491494616220488
Train,2024-05-14 07:49:00,2024-05-14 10:46:00,2h 57m,$52.00,Amtrak,52.0,177,2024-05-14 11:16:00,0.1543850637162896
Train,2024-05-14 08:05:00,2024-05-14 11:03:00,2h 58m,$52.00,Amtrak Northeast Regional,52.0,178,2024-05-14 11:33:00,0.1596206658105304
Train,2024-05-14 00:20:00,2024-05-14 05:36:00,5h 16m,$11.00,Amtrak Northeast Regional,11.0,316,2024-05-14 06:06:00,0.180227205373901
Train,2024-05-14 06:02:00,2024-05-14 08:40:00,2h 38m,$72.00,Amtrak Palmetto,72.0,158,2024-05-14 09:10:00,0.1990556159241331
Train,2024-05-14 08:49:00,2024-05-14 11:34:00,2h 45m,$72.00,Amtrak,72.0,165,2024-05-14 12:04:00,0.204291218018374
Train,2024-05-14 09:05:00,2024-05-14 11:57:00,2h 52m,$72.00,Amtrak Northeast Regional,72.0,172,2024-05-14 12:27:00,0.2095268201126148
Train,2024-05-14 06:02:00,2024-05-14 08:54:00,2h 52m,$72.00,Amtrak Palmetto,72.0,172,2024-05-14 09:24:00,0.2095268201126148
Train,2024-05-14 08:49:00,2024-05-14 11:47:00,2h 58m,$72.00,Amtrak,72.0,178,2024-05-14 12:17:00,0.2199980243010965
Train,2024-05-14 00:20:00,2024-05-14 05:51:00,5h 31m,$22.00,Amtrak Northeast Regional,22.0,331,2024-05-14 06:21:00,0.2261226909019065
Train,2024-05-14 09:00:00,2024-05-14 11:20:00,2h 20m,$104.00,Amtrak Acela,104.0,140,2024-05-14 11:50:00,0.2837735849056603
Train,2024-05-14 08:00:00,2024-05-14 10:24:00,2h 24m,$104.00,Amtrak Acela,104.0,144,2024-05-14 10:54:00,0.2890091869999012
Train,2024-05-14 09:00:00,2024-05-14 11:33:00,2h 33m,$105.00,Amtrak Acela,105.0,153,2024-05-14 12:03:00,0.2994803911883829
Train,2024-05-14 08:00:00,2024-05-14 10:37:00,2h 37m,$105.00,Amtrak Acela,105.0,157,2024-05-14 11:07:00,0.2994803911883829
Plane,2024-05-14 05:03:00,2024-05-14 09:00:00,3h 57m,$158,American Airlines,158.0,237,2024-05-14 10:00:00,0.5492877605452929
Plane,2024-05-14 06:00:00,2024-05-14 10:53:00,4h 53m,$276,Delta,276.0,293,2024-05-14 11:53:00,0.9592847969969376
