Mode,Dept,Arr,Duration,Price,Company,Price_sort,Duration_min,added_arrival,Custom_weighting
Train,2024-05-12 08:27:00,2024-05-12 11:14:00,2h 47m,$96.00,Amtrak,96.0,167,2024-05-12 11:44:00,0.10002498166551956
Train,2024-05-12 08:42:00,2024-05-12 11:01:00,2h 19m,$228.00,Amtrak Acela,228.0,139,2024-05-12 11:31:00,0.21538994317845306
Train,2024-05-12 07:14:00,2024-05-12 10:02:00,2h 48m,$96.00,Amtrak Northeast Regional,96.0,168,2024-05-12 10:32:00,0.10030548657435547
Train,2024-05-12 07:54:00,2024-05-12 10:45:00,2h 51m,$96.00,Amtrak Northeast Regional,96.0,171,2024-05-12 11:15:00,0.10114700130086318
Train,2024-05-12 05:44:00,2024-05-12 08:27:00,2h 43m,$96.00,Amtrak Northeast Regional,96.0,163,2024-05-12 08:57:00,0.09890296203017594
Train,2024-05-12 19:00:00,2024-05-12 21:20:00,2h 20m,$228.00,Amtrak Acela,228.0,140,2024-05-12 21:50:00,0.21567044808728897
Train,2024-05-12 08:52:00,2024-05-12 11:21:00,2h 29m,$129.00,Amtrak Vermonter,129.0,149,2024-05-12 11:51:00,0.125780668046558
Train,2024-05-12 12:47:00,2024-05-12 15:20:00,2h 33m,$129.00,Amtrak Northeast Regional,129.0,153,2024-05-12 15:50:00,0.1269026876819016
Train,2024-05-12 05:34:00,2024-05-12 07:48:00,2h 14m,$228.00,Amtrak Acela,228.0,134,2024-05-12 08:18:00,0.21398741863427354
Train,2024-05-12 09:37:00,2024-05-12 12:12:00,2h 35m,$129.00,Amtrak Northeast Regional,129.0,155,2024-05-12 12:42:00,0.12746369749957343
Train,2024-05-12 16:14:00,2024-05-12 18:58:00,2h 44m,$129.00,Amtrak Northeast Regional,129.0,164,2024-05-12 19:28:00,0.12998824167909656
Train,2024-05-12 16:46:00,2024-05-12 19:24:00,2h 38m,$129.00,Amtrak Northeast Regional,129.0,158,2024-05-12 19:54:00,0.12830521222608113
Train,2024-05-12 16:30:00,2024-05-12 18:48:00,2h 18m,$287.00,Amtrak Acela,287.0,138,2024-05-12 19:18:00,0.2701846415927989
Train,2024-05-12 10:19:00,2024-05-12 12:56:00,2h 37m,$129.00,Amtrak Northeast Regional,129.0,157,2024-05-12 13:26:00,0.12802470731724522
Train,2024-05-12 14:58:00,2024-05-12 18:01:00,3h 3m,$129.00,Amtrak Crescent,129.0,183,2024-05-12 18:31:00,0.13531783494697874
Train,2024-05-12 10:53:00,2024-05-12 13:36:00,2h 43m,$129.00,Amtrak,129.0,163,2024-05-12 14:06:00,0.12970773677026065
Train,2024-05-12 18:00:00,2024-05-12 20:23:00,2h 23m,$287.00,Amtrak Acela,287.0,143,2024-05-12 20:53:00,0.2715871661369785
Train,2024-05-12 11:54:00,2024-05-12 14:33:00,2h 39m,$129.00,Amtrak Northeast Regional,129.0,159,2024-05-12 15:03:00,0.12858571713491704
Train,2024-05-12 11:18:00,2024-05-12 14:14:00,2h 56m,$129.00,Amtrak Northeast Regional,129.0,176,2024-05-12 14:44:00,0.1333543005851274
