Mode,Dept,Arr,Duration,Price,Company,Price_sort,Duration_min,added_arrival,Custom_weighting,Program_Ranking,CC_ Ranking,AC_Ranking,JK_Ranking,,,,
Bus,4:50 AM,8:20 AM,3h 30m,$8.99 ,FlixBus US,8.99,210,8:50 AM,0.083911476,1,9,7,,,,,
Bus,8:00 AM,11:30 AM,3h 30m,$19.00 ,Peter Pan Lines,19,210,12:00 PM,0.097493588,2,,1,8,,,,
Bus,8:05 AM,11:30 AM,3h 25m,$27.99 ,FlixBus US,27.99,205,12:00 PM,0.1079010974292888,3,,2,7,,,,
Bus,2:15 AM,5:30 AM,3h 15m,$35.00 ,Wanda Coach,35,195,6:00 AM,0.1083429472590946,4,7,,,,,,
Bus,7:35 AM,11:10 AM,3h 35m,$27.99 ,FlixBus US,27.99,215,11:40 AM,0.1142503037784951,5,,3,9,,,,
Bus,6:10 AM,9:50 AM,3h 40m,$27.99 ,FlixBus US,27.99,220,10:20 AM,0.1174249069530983,6,,4,,,,% in top 10,MEA
Bus,3:15 AM,7:00 AM,3h 45m,$35.00 ,Wanda Coach,35,225,7:30 AM,0.1273905663067137,7,,,,,Evaluator 1,0.3,10
Bus,1:45 AM,5:40 AM,3h 55m,$36.99 ,Greyhound,36.99,235,6:10 AM,0.133739773,8,,,,,Evaluator 2,0.6,2.6
Train,8:27 AM,11:14 AM,2h 47m,$69.00 ,Amtrak,69,167,11:44 AM,0.1368327214645613,9,1,5,1,,Evaluator 3,0.4,10.5
Bus,1:30 AM,5:30 AM,4h 0m,$35.00 ,Wanda Coach,35,240,6:00 AM,0.1369143758305232,10,,,,,Average,0.43,7.7
Train,8:12 AM,11:14 AM,3h 2m,$69.00 ,Amtrak,69,182,11:44 AM,0.1463565309883708,,2,6,2,,,,
Bus,4:30 AM,9:00 AM,4h 30m,$30.00 ,Wanda Coach,30,270,9:30 AM,0.149170939,,,9,,,,,
Bus,4:20 AM,8:55 AM,4h 35m,$27.99 ,Greyhound,27.99,275,9:25 AM,0.1523455418737332,,,8,,,,,
Train,5:44 AM,8:27 AM,2h 43m,$96.00 ,Amtrak Northeast Regional,96,163,8:57 AM,0.1707880023596225,,3,,,,,,
Train,7:54 AM,10:45 AM,2h 51m,$96.00 ,Amtrak Northeast Regional,96,171,11:15 AM,0.1739626055342257,,5,10,10,,,,
Train,7:14 AM,10:02 AM,2h 48m,$96.00 ,Amtrak Northeast Regional,96,168,10:32 AM,0.1739626055342257,,4,,,,,,
Train,5:29 AM,8:27 AM,2h 58m,$96.00 ,Amtrak Northeast Regional,96,178,8:57 AM,0.180311812,,6,,,,,,
Train,7:38 AM,10:45 AM,3h 7m,$96.00 ,Amtrak Northeast Regional,96,187,11:15 AM,0.1834864150580352,,,,,,,,
Train,6:57 AM,10:02 AM,3h 5m,$96.00 ,Amtrak Northeast Regional,96,185,10:32 AM,0.1834864150580352,,8,,,,,,
Train,8:52 AM,11:21 AM,2h 29m,$129.00 ,Amtrak Vermonter,129,149,11:51 AM,0.2088015860888987,,,,3,,,,
Train,8:42 AM,11:01 AM,2h 19m,$138.00 ,Amtrak Acela,138,139,11:31 AM,0.2160344920977168,,,,5,,,,
Bus,5:05 AM,11:10 AM,6h 5m,$34.98 ,Greyhound,34.98,365,11:40 AM,0.2162794551956026,,,,,,,,
Train,8:35 AM,11:21 AM,2h 46m,$129.00 ,Amtrak Vermonter,129,166,11:51 AM,0.2183253956127082,,,,4,,,,
Bus,2:05 AM,8:20 AM,6h 15m,$34.98 ,Greyhound,34.98,375,8:50 AM,0.2226286615448089,,,,,,,,
Bus,5:10 AM,11:15 AM,6h 5m,$38.48 ,Greyhound,38.48,365,11:45 AM,0.2230705113746149,,,,,,,,
Bus,5:10 AM,11:15 AM,6h 5m,$38.48 ,FlixBus US,38.48,365,11:45 AM,0.2230705113746149,,,,,,,,
Train,8:27 AM,11:01 AM,2h 34m,$139.00 ,Amtrak Acela,139,154,11:31 AM,0.2255583016215263,,,,6,,,,
Bus,5:10 AM,11:30 AM,6h 20m,$34.48 ,Greyhound,34.48,380,12:00 PM,0.2258032647194121,,,,,,,,
Bus,1:10 AM,7:45 AM,6h 35m,$35.48 ,FlixBus US,35.48,395,8:15 AM,0.2353270742432217,,,,,,,,
Train,5:34 AM,7:48 AM,2h 14m,$179.00 ,Amtrak Acela,179,134,8:18 AM,0.2671883383552115,,,,,,,,
Train,6:30 AM,8:48 AM,2h 18m,$179.00 ,Amtrak,179,138,9:18 AM,0.2703629415298147,,,,,,,,
Train,5:21 AM,7:48 AM,2h 27m,$180.00 ,Amtrak Acela,180,147,8:18 AM,0.2735375447044179,,,,,,,,
Plane,6:05 AM,7:25 AM,1h 20m,$216 ,Delta,216,80,8:25 AM,0.2798050966876623,,10,,,,,,
Train,7:34 AM,9:52 AM,2h 18m,$228.00 ,Amtrak Acela,228,138,10:22 AM,0.3382735033199372,,,,,,,,
Train,7:21 AM,9:52 AM,2h 31m,$230.00 ,Amtrak Acela,230,151,10:22 AM,0.3446227096691435,,,,,,,,
Plane,5:00 AM,10:00 AM,5h 0m,$598 ,American Airlines,598,300,11:00 AM,0.9423989621541446,,,,,,,,
