('https://iaa.jhu.edu/about/', 'Johns Hopkins Institute for Assured Autonomy')
('https://hub.jhu.edu/2022/03/31/johns-hopkins-scientists-first-complete-sequence-human-genome/', 'first complete sequence of human genome')
('https://hub.jhu.edu/2021/01/22/ethical-artificial-intelligence-deep-fakes/', 'Machine Learning: Deep Learning')
('https://www.cs.jhu.edu/academic-programs/graduate-studies/current-graduate-students/', 'Resources for Graduate Students')
('https://www.cs.jhu.edu/academic-programs/graduate-studies/current-graduate-students/', 'Resources for Graduate Students')
('https://www.cs.jhu.edu', 'Department of Computer Science')
('https://www.cs.jhu.edu/academic-programs/undergraduate-studies/undergraduate-academics/current-undergraduate-students/', 'Resources for Undergrads')
('https://www.cs.jhu.edu/academic-programs/undergraduate-studies/undergraduate-academics/current-undergraduate-students/', 'Resources for Undergrads')
('http://www.cs.jhu.edu#skip_content', 'Skip to main content')
('http://www.cs.jhu.edu#alert', 'Skip to site alert')
('https://www.cs.jhu.edu/news/?filters[category]=student-experience', 'Student Experience')
('https://www.cs.jhu.edu/news/?filters[category]=student-experience', 'Student Experience')
('https://www.cs.jhu.edu/academic-programs/', 'Academic Programs')
('https://www.cs.jhu.edu/academic-programs/', 'Academic Programs')
('https://www.cs.jhu.edu/news/?filters[category]=awards-and-honors', 'Awards and Honors')
('https://www.cs.jhu.edu/alumni-and-giving/', 'Alumni & Giving')
('https://www.cs.jhu.edu/alumni-and-giving/', 'Alumni & Giving')
('https://www.google.com/maps/place/?q=place_id:ChIJ0c_fBN8EyIkR-c2XdIBfEuA', 'Get Directions')
('https://www.cs.jhu.edu/it-support/', 'CS IT Support')
('https://www.cs.jhu.edu/it-support/', 'CS IT Support')
('https://www.cs.jhu.edu/it-support/', 'CS IT Support')
('https://www.cs.jhu.edu/it-support/', 'CS IT Support')
('https://www.cs.jhu.edu/news/?filters[category]=research', 'Research')
('https://www.cs.jhu.edu/research/', 'Research')
('https://www.cs.jhu.edu/research/', 'Research')
('https://www.cs.jhu.edu/events/', 'Events')
('https://www.cs.jhu.edu/events/', 'Events')
('https://www.cs.jhu.edu/people/', 'People')
('https://www.cs.jhu.edu/people/', 'People')
('https://www.cs.jhu.edu/about/', 'About')
('https://www.cs.jhu.edu/about/', 'About')
('https://www.cs.jhu.edu/wp-content/uploads/2022/09/cs-dept-bro.pdf', 'here.')
('https://www.cs.jhu.edu/news/', 'News')
('https://www.cs.jhu.edu/news/', 'News')
('http://www.cs.jhu.edu#menu', '')
('https://accessibility.jhu.edu/', '')
('https://engineering.jhu.edu/', '')
('https://engineering.jhu.edu/Datascience-AI/CS/', '')
('https://engineering.jhu.edu/admissions/', '')
('https://engineering.jhu.edu/admissions/', '')
('https://engineering.jhu.edu/admissions/', '')
('https://engineering.jhu.edu/admissions/', '')
('https://engineering.jhu.edu/request-information/', '')
('https://engineering.jhu.edu/request-information/', '')
('https://imagine.jhu.edu/hire-at-hopkins/', '')
('https://imagine.jhu.edu/hire-at-hopkins/', '')
('https://it.johnshopkins.edu/policies/privacystatement', '')
('https://jhu.edu', '')
('https://lists.cs.jhu.edu/mailman/listinfo/sem', '')
('https://lists.cs.jhu.edu/mailman/listinfo/sem', '')
('https://makeagift.jhu.edu/form/eng', '')
('https://makeagift.jhu.edu/form/eng', '')
('https://twitter.com/JHUCompSci', '')
('https://www.cs.jhu.edu', '')
('https://www.cs.jhu.edu/about/diversity-and-inclusion/', '')
('https://www.cs.jhu.edu/about/diversity-and-inclusion/', '')
('https://www.cs.jhu.edu/about/employment-opportunities/', '')
('https://www.cs.jhu.edu/about/employment-opportunities/', '')
('https://www.cs.jhu.edu/about/message-from-dept-head/', '')
('https://www.cs.jhu.edu/about/message-from-dept-head/', '')
('https://www.cs.jhu.edu/academic-programs/academic-integrity-code/', '')
('https://www.cs.jhu.edu/academic-programs/academic-integrity-code/', '')
('https://www.cs.jhu.edu/academic-programs/combined-bachelors-masters/', '')
('https://www.cs.jhu.edu/academic-programs/combined-bachelors-masters/', '')
